time,node_id,neighbor_id,distance_m,symmetrical_link
1,0,5,366,1
1,0,3,375,1
1,0,6,371,1
1,0,7,376,1
1,1,5,366,1
1,1,2,375,1
1,2,5,366,1
1,2,3,375,1
1,2,1,222,1
1,3,4,276,1
1,3,5,366,1
1,3,2,375,1
1,3,0,376,1
1,4,3,375,1
1,5,3,375,1
1,5,2,375,1
1,5,1,222,1
1,5,0,376,1
1,6,10,335,1
1,6,7,376,1
1,6,9,371,1
1,6,0,376,1
1,7,10,335,1
1,7,6,371,1
1,7,8,351,1
1,7,9,371,1
1,7,0,376,1
1,8,7,376,1
1,8,9,371,1
1,9,10,335,1
1,9,6,371,1
1,9,7,376,1
1,9,8,351,1
1,10,6,371,1
1,10,7,376,1
1,10,9,371,1
1.5,0,5,366,1
1.5,0,3,375,1
1.5,0,6,371,1
1.5,0,7,376,1
1.5,1,5,366,1
1.5,1,2,375,1
1.5,2,5,366,1
1.5,2,3,375,1
1.5,2,1,222,1
1.5,3,4,276,1
1.5,3,5,366,1
1.5,3,2,375,1
1.5,3,0,376,1
1.5,4,3,375,1
1.5,5,3,375,1
1.5,5,2,375,1
1.5,5,1,222,1
1.5,5,0,376,1
1.5,6,10,335,1
1.5,6,7,376,1
1.5,6,9,371,1
1.5,6,0,376,1
1.5,7,10,335,1
1.5,7,6,371,1
1.5,7,8,351,1
1.5,7,9,371,1
1.5,7,0,376,1
1.5,8,7,376,1
1.5,8,9,371,1
1.5,9,10,335,1
1.5,9,6,371,1
1.5,9,7,376,1
1.5,9,8,351,1
1.5,10,6,371,1
1.5,10,7,376,1
1.5,10,9,371,1
2,0,5,366,1
2,0,3,375,1
2,0,6,371,1
2,0,7,376,1
2,1,5,366,1
2,1,2,375,1
2,2,5,366,1
2,2,3,375,1
2,2,1,222,1
2,3,4,276,1
2,3,5,366,1
2,3,2,375,1
2,3,0,376,1
2,4,3,375,1
2,5,3,375,1
2,5,2,375,1
2,5,1,222,1
2,5,0,376,1
2,6,10,335,1
2,6,7,376,1
2,6,9,371,1
2,6,0,376,1
2,7,10,335,1
2,7,6,371,1
2,7,8,351,1
2,7,9,371,1
2,7,0,376,1
2,8,7,376,1
2,8,9,371,1
2,9,10,335,1
2,9,6,371,1
2,9,7,376,1
2,9,8,351,1
2,10,6,371,1
2,10,7,376,1
2,10,9,371,1
2.5,0,5,366,1
2.5,0,3,375,1
2.5,0,6,371,1
2.5,0,7,376,1
2.5,1,5,366,1
2.5,1,2,375,1
2.5,2,5,366,1
2.5,2,3,375,1
2.5,2,1,222,1
2.5,3,4,276,1
2.5,3,5,366,1
2.5,3,2,375,1
2.5,3,0,376,1
2.5,4,3,375,1
2.5,5,3,375,1
2.5,5,2,375,1
2.5,5,1,222,1
2.5,5,0,376,1
2.5,6,10,335,1
2.5,6,7,376,1
2.5,6,9,371,1
2.5,6,0,376,1
2.5,7,10,335,1
2.5,7,6,371,1
2.5,7,8,351,1
2.5,7,9,371,1
2.5,7,0,376,1
2.5,8,7,376,1
2.5,8,9,371,1
2.5,9,10,335,1
2.5,9,6,371,1
2.5,9,7,376,1
2.5,9,8,351,1
2.5,10,6,371,1
2.5,10,7,376,1
2.5,10,9,371,1
3,0,5,366,1
3,0,3,375,1
3,0,6,371,1
3,0,7,376,1
3,1,5,366,1
3,1,2,375,1
3,2,5,366,1
3,2,3,375,1
3,2,1,222,1
3,3,4,276,1
3,3,5,366,1
3,3,2,375,1
3,3,0,376,1
3,4,3,375,1
3,5,3,375,1
3,5,2,375,1
3,5,1,222,1
3,5,0,376,1
3,6,10,335,1
3,6,7,376,1
3,6,9,371,1
3,6,0,376,1
3,7,10,335,1
3,7,6,371,1
3,7,8,351,1
3,7,9,371,1
3,7,0,376,1
3,8,7,376,1
3,8,9,371,1
3,9,10,335,1
3,9,6,371,1
3,9,7,376,1
3,9,8,351,1
3,10,6,371,1
3,10,7,376,1
3,10,9,371,1
3.5,0,5,366,1
3.5,0,3,375,1
3.5,0,6,371,1
3.5,0,7,376,1
3.5,1,5,366,1
3.5,1,2,375,1
3.5,2,5,366,1
3.5,2,3,375,1
3.5,2,1,222,1
3.5,3,4,276,1
3.5,3,5,366,1
3.5,3,2,375,1
3.5,3,0,376,1
3.5,4,3,375,1
3.5,5,3,375,1
3.5,5,2,375,1
3.5,5,1,222,1
3.5,5,0,376,1
3.5,6,10,335,1
3.5,6,7,376,1
3.5,6,9,371,1
3.5,6,0,376,1
3.5,7,10,335,1
3.5,7,6,371,1
3.5,7,8,351,1
3.5,7,9,371,1
3.5,7,0,376,1
3.5,8,7,376,1
3.5,8,9,371,1
3.5,9,10,335,1
3.5,9,6,371,1
3.5,9,7,376,1
3.5,9,8,351,1
3.5,10,6,371,1
3.5,10,7,376,1
3.5,10,9,371,1
4,0,5,366,1
4,0,3,375,1
4,0,6,371,1
4,0,7,376,1
4,1,5,366,1
4,1,2,375,1
4,2,5,366,1
4,2,3,375,1
4,2,1,222,1
4,3,4,276,1
4,3,5,366,1
4,3,2,375,1
4,3,0,376,1
4,4,3,375,1
4,5,3,375,1
4,5,2,375,1
4,5,1,222,1
4,5,0,376,1
